;Unnamed: 0;date;insee;tH2_obs;capeinsSOL0;ciwcH20;clwcH20;ddH10_rose4;ffH10;flir1SOL0;fllat1SOL0;flsen1SOL0;flvis1SOL0;hcoulimSOL0;huH2;iwcSOL0;nbSOL0_HMoy;nH20;ntSOL0_HMoy;pMER0;rr1SOL0;rrH20;tH2;tH2_VGrad_2.100;tH2_XGrad;tH2_YGrad;tpwHPA850;ux1H10;vapcSOL0;vx1H10;ech;mois
2;2;2014-01-01;33281001;8.89999961853027;69.2038560112975;0.0;1.02676193002635e-06;3.0;3.41128316482305;-62310.3402969763;9483.69131593718;64790.365135763204;3.60000000000276e-12;202.985581570517;95.7117075555265;0.0;4.79242392384334;0.154939875797959;7.844538011141782;1016.1397560196001;0.0813152546468493;0.00500807517799091;8.5851837142832;0.387328512262545;0.00137216533093163;9.738355951016431e-06;7.643069760095559;3.02961043434631;17.3436002872158;4.88984864364851;1;janvier
9;9;2014-01-02;33281001;10.8999996185303;83.283533498598;0.0;0.0;4.0;5.66140560724861;-95081.5752669829;-180224.08031845104;268398.808876124;3.60000000000276e-12;407.45487416665605;90.0189999832594;0.0;7.20128852026757;0.0;7.96771459223451;1004.9077299804601;0.174213138596396;0.0092631143300154;11.11380697553;-0.158892493604146;0.00135665493231619;0.00016618082037218502;9.95149033075359;14.1564255521355;19.419304257516398;0.26393683032119103;1;janvier
16;16;2014-01-03;33281001;10.3000001907349;24.228637615301;0.0;0.0;3.0;3.58103529236294;-23572.928629867598;-56257.1130539821;109115.320457041;3.60000000000276e-12;233.12695338327305;91.1407037257002;0.0;6.63225096586028;0.0;7.994964565081579;1009.35167726517;0.0;0.0;10.920029169612599;-0.112929518800218;0.00196682010130916;3.53898024435176e-05;12.4501949656785;2.32039455465234;25.547132216333495;7.34092283995076;1;janvier
23;23;2014-01-04;33281001;9.30000019073486;2.15425719351022;0.0;0.0;3.0;2.94089021896563;-122875.724116192;-13830.0371222748;57371.6200350738;3.60000000000276e-12;266.72432008604596;93.38833259308541;0.0;0.00254827388702176;0.0;8.0;1010.80755860329;0.0;0.0;8.9170032072036;0.7018412065718989;0.0018039624977362106;-0.00023260574566686803;10.0164594032052;-3.40641844952176;14.227005485445199;3.1193450371374705;1;janvier
30;30;2014-01-05;33281001;7.599999904632571;7.90848648264073;0.0;0.0;4.0;6.02308975801947;-129558.53641201;-171860.532872669;278198.63127474603;3.60000000000276e-12;1255.31428803375;85.9674633861154;0.0;6.33567249471564;0.0;7.6171366672509695;1012.19449195292;0.4942959611184381;0.0235705817883625;7.20827240069979;0.40856453606001;0.00179320051052176;0.000189545635599602;6.14992123579659;12.5666583413561;13.977067700761399;-1.14739954949069;1;janvier
37;37;2014-01-06;33281001;11.1999998092651;6.5963955321685885;0.0;2.1218531287554398e-07;3.0;4.35324734254006;-110343.74269309301;13031.9411591322;130896.559987283;3.60000000000276e-12;279.933775706027;94.8743906828275;0.0;0.247273580487881;0.0197526180881591;7.99506409757236;1013.17589479446;0.0;0.0;10.351624136334198;0.733714189452247;-0.000800247569339761;-0.000537623362369126;13.4663920458497;-1.40366525534635;26.4592413305934;6.79047794913368;1;janvier
44;44;2014-01-07;33281001;11.6999998092651;0.101388624346773;0.0;0.0;2.0;2.49141891217276;-164896.09497264;10308.737938112099;57409.1675714204;3.60000000000276e-12;63.0163699984536;91.7211526152673;0.0;4.525637022883902;0.0;5.516206537731839;1015.30409180164;0.0;0.0;10.984488081567099;2.8975578386080096;0.00298272093076961;0.00108249454823765;11.3753498442471;-3.89258126838788;16.6916136219795;1.82555801098062;1;janvier
51;51;2014-01-08;33281001;12.0;0.00354099273681463;0.0;0.0;3.0;3.2863060069958;-197780.934493775;-4213.54411886794;109797.47882280199;3.60000000000276e-12;223.509677457857;88.84358424527771;0.0;0.0;0.0;8.0;1018.87059923839;0.0;0.0;11.2335078656439;0.8784250051078409;0.00278544340970923;0.0006085802908267259;11.904194799071698;-3.0732502273240097;17.2271604314144;4.04832837290317;1;janvier
58;58;2014-01-09;33281001;10.1000003814697;0.0;0.0;0.0;3.0;3.65248743589877;-247724.077562971;-3979.6019362798797;103026.36034537;3.60000000000276e-12;492.0641698980289;88.7110807549601;0.0;0.0;0.0;7.91498256847817;1017.50308473587;0.0;0.0;9.494070552650651;0.952126454225008;0.0021195638711436;0.000795652796003881;9.31578870191265;-3.77072033254662;14.6553602874037;4.22417045453505;1;janvier
65;65;2014-01-10;33281001;4.59999990463257;0.0;0.0;4.03925464913008e-07;3.0;1.7789224145252498;-161717.051595797;15217.0448733092;15825.2583514125;3.60000000000276e-12;10.0;95.6343436639303;0.0;3.32489063168074;0.0744320893304183;3.32489063168074;1019.31872528315;0.0;0.0;5.29485438787317;4.24902171772218;0.00430268067800515;4.80942315970929e-05;10.281682010734;0.8044682351145249;18.8457224041042;1.89357519884616;1;janvier
