"CM1" "CM2" "CM3" "CM4" "CM5" "CM6" "CM7" "CM8" "CM9" "CM10" "CM11" "CM12" "CM13" "CM14" "CM15" "CM16" "CM17" "CM18" "CM19" "CM20" "CM21" "CM22" "CM23" "CM24" "CM25" "CM26" "CM27" "CM28" "CM29" "CM30" "CM31" "CM32" "CM33" "CM34" "CM35" "CM36" "CM37" "CM38" "CM39" "CM40" "CM41" "CM42" "CM43" "CM44" "CM45" "CM46" "CM47" "CM48" "CM49" "CM50" "CM51" "CM52" "CM53" "CM54" "CM55" "CM56" "CM57" "CM58" "CM59" "CM60" "CM61" "CM62" "CM63" "CM64" "CM65" "CM66" "CM67" "CM68" "CM69" "CM70" "CM71" "CM72"
"Acanthe" 22.189047619 21.372380952 22.096086957 23.009444444 22.31 24.945238095 25.3375 27.575217391 26.964285714 25.396363636 26.557272727 24.838421053 26.375454545 26.156 22.055454545 21.879473684 22.240454545 21.8215 20.661363636 19.940869565 17.6645 17.069130435 18.215454545 18.107777778 19.455454545 19.7145 21.1235 21.992857143 20.869090909 18.698 16.029130435 15.967272727 14.106190476 13.100869565 15.763333333 15.7 15.237272727 14.2275 13.885714286 15.4495 15.093333333 16.708095238 16.945909091 16.592380952 16.388636364 16.9 18.3815 18.4105 19.09952381 18.9395 18.34826087 18.3925 17.268095238 17.563181818 17.251818182 17.029090909 17.885454545 18.497142857 18.768636364 19.01173913 20.422380952 20.9855 20.318571429 19.30047619 18.710909091 19.702272727 20.659047619 19.795454545 19.771818182 19.555238095 20.633181818 21.740952381
"Accor" 76.873809524 83.352380952 129.21304348 77.841666667 56.4 43.814285714 33.4475 36.619565217 47.48 23.863181818 18.599545455 11.955789474 12.503181818 12.396 9.6881818182 8.8763157895 8.7222727273 7.0505 5.6145454545 4.9060869565 3.0735 3.8052173913 4.4318181818 4.2594444444 3.8404545455 3.005 2.5405 2.4742857143 2.4495454545 2.453 2.0134782609 1.6036363636 1.3538095238 1.2817391304 1.1657142857 1.412 1.1481818182 1.1355 1.099047619 1.109 1.1485714286 1.1771428571 1.2286956522 1.2057142857 1.2172727273 1.1330434783 1.316 1.279047619 1.2571428571 1.513 1.5130434783 1.379 1.2533333333 1.1054545455 1.035 1.0033333333 0.9554545455 1.0047619048 1.3081818182 1.5717391304 1.7485714286 2.381 2.2647619048 1.9033333333 1.6913636364 1.9813636364 2.0257142857 2.1395652174 2.2004545455 1.9814285714 1.7922727273 1.7619047619
"Acteos" 44.85047619 40.576190476 38.62173913 42.273888889 44.192272727 43.536666667 44.87 47.500434783 46.037619048 43.667272727 46.414090909 42.586842105 47.11 46.294 44.716363636 44.444736842 49.068636364 47.167 45.5 43.618695652 33.7235 32.557826087 36.447727273 39.133333333 41.270909091 40.0325 45.3705 46.535238095 44.905 41.164 35.157391304 34.413636364 32.482857143 30.885217391 34.638095238 32.134 28.279545455 28.969 27.666666667 27.602 31.01 32.426190476 32.486086957 34.4 33.956818182 32.976086957 34.8795 35.683333333 36.271904762 35.6685 34.184782609 34.73 33.833333333 33.982727273 34.773636364 34.720909091 32.686363636 31.664761905 32.991818182 32.20173913 32.496666667 34.9535 37.235714286 37.126190476 36.414545455 38.641363636 40.663333333 42.779565217 41.927272727 41.955238095 44.197727273 45.638095238
"Adl-Partner" 48.464 46.33047619 44.181363636 39.773333333 40.550454545 37.722857143 38.8355 37.842173913 36.879047619 34.484545455 36.794090909 39.742105263 43.993181818 46.1125 37.8 36.830526316 34.804545455 35.8555 35.97 35.53826087 31.22 28.974347826 25.259090909 24.480555556 25.664090909 21.803 21.2165 25.466190476 24.871363636 22.726 21.036818182 20.617727273 20.477142857 22.460869565 23.206666667 24.6645 22.404761905 20.61 19.241666667 20.517142857 20.687857143 23.170588235 27.964285714 31.066190476 30.014090909 29.633043478 28.695294118 27.247142857 27.775 25.924444444 26.540909091 26.102307692 27.627368421 26.493684211 25.170454545 25.548 24.883181818 23.2935 22.474545455 22.525217391 18.567142857 15.504 14.58952381 14.126 13.03 13.701818182 11.934210526 11.597826087 11.198636364 15.859047619 14.327272727 15.033809524
"Adt-SIIC" 12.893809524 21.411428571 23.51 16.593888889 15.970909091 14.83952381 13.3945 14.474782609 18.915714286 15.807272727 16.265454545 14.714736842 15.981818182 15.637 12.835454545 12.227368421 13.654090909 13.3135 12.779545455 13.442727273 10.4155 9.8947826087 8.9577272727 9.2555555556 10.323636364 11.673 11.03 12.431904762 13.295454545 12.0855 10.996190476 10.431818182 10.120952381 6.9626086957 6.6071428571 7.037 6.9331818182 6.333 5.3466666667 5.7005 5.9047619048 6.4647619048 6.4486956522 6.4657142857 7.0631818182 6.8069565217 7.3775 7.510952381 8.8742857143 11.683 12.380434783 11.1275 10.419047619 11.136818182 12.997272727 12.452272727 13.006818182 14.026190476 14.124090909 13.639130435 15.673333333 19.436 22.723809524 24.983333333 26.857727273 25.957272727 22.685714286 23.29173913 25.081818182 26.267142857 22.700454545 21.46
"Afibel" 35.744666667 38.002380952 36.597142857 37.25 36.916315789 35.6555 35.455625 35.667368421 35.915714286 37.952 37.005 36.875263158 38.660454545 39.931 39.893636364 39.7 39.912272727 39.418 38.664090909 37.954782609 37.059 36.980434783 36.758636364 35.978235294 36.866363636 38.6685 39.959 39.986666667 39.981363636 39.28 38.872608696 38.715909091 38.657142857 39.755652174 39.362380952 38.943 39.147727273 39.0745 38.988095238 42.9265 43.314285714 43.551904762 44.716521739 47.825714286 47.065454545 48.273913043 50.449 49.283333333 50.761904762 54.46 56.254347826 61.2625 62.10952381 62.547727273 64.193181818 64.443181818 64.136363636 67.192857143 66.790909091 70.02173913 69.352380952 70.2325 78.476190476 84.145238095 82.661363636 85.981818182 89.00952381 91.663043478 89.259090909 92.942857143 92.404545455 88.59047619
"Air-France" 51.133809524 50.65 50.520869565 54.630555556 55.175 55.997619048 55.3375 56.491304348 55.271428571 62.334090909 68.059090909 70.797368421 68.675 68.6375 68.506818182 67.223684211 67.247727273 65.3425 65.35 61.982608696 50.004 52.180869565 55.65 53.663888889 52.459090909 52.1575 55.3725 55.571428571 54.338636364 47.6815 40.362173913 39.088636364 33.940952381 29.046956522 34.676666667 34.4475 31.853181818 27.1995 24.667619048 27.925 31.12 34.950952381 39.313478261 42.504761905 42.138636364 43.551304348 43.712 42.888095238 46.064761905 50.5615 50.432173913 51.875 49.773809524 49.845 47.788636364 46.845454545 48.926818182 51.871428571 51.693181818 53.869565217 55.79047619 58.05 58.583333333 61.819047619 63.620454545 65.868181818 68.873809524 70.634782609 74.431818182 77.483333333 81.047727273 83.488095238
"Air-Liquide" 19.26047619 16.57047619 15.724782609 17.041666667 16.544545455 18.038571429 18.8785 20.207391304 21.04952381 19.375 21.911818182 22.736315789 23.295454545 22.2425 20.366818182 19.675789474 21.286818182 20.419 19.471363636 18.91 13.2245 12.736086957 14.500909091 16.002222222 17.461818182 18.121 20.243 19.79952381 19.021818182 16.702 15.013478261 14.010454545 10.982380952 8.967826087 12.064761905 10.745 9.5313636364 8.8625 8.8366666667 9.7295 10.973809524 11.716190476 12.747826087 13.90952381 14.584090909 13.577391304 13.4095 12.63047619 13.628095238 15.352 15.105652174 14.7795 13.395238095 13.299090909 13.35 12.427727273 13.282272727 12.94 14.190454545 14.201304348 13.924285714 14.538 14.149047619 13.27047619 12.700454545 12.904090909 13.111904762 13.575652174 13.934090909 14.082380952 14.655909091 17.290952381
"Airox" 119.55380952 111.34238095 104.3473913 108.53777778 108.25454545 107.9247619 109.01 113.46086957 110.92666667 104.92863636 115.29772727 122.17894737 122.64 119.4865 127.36409091 132.03526316 135.03136364 130.845 130.85409091 125.61086957 117.361 126.67217391 125.965 125.77 124.58045455 128.079 134.8615 135.53904762 136.16227273 134.856 132.7 128.90090909 118.26809524 120.21304348 120.94380952 115.7995 110.20636364 104.7145 110.07761905 120.4825 118.94 119.31619048 120.45 121.38904762 118.47545455 115.37173913 120.5365 123.38904762 124.94333333 124.573 127.60086957 132.973 131.10333333 134.51 133.85 128.67727273 129.65909091 127.9952381 131.29545455 132.49565217 133.27142857 134.48 140.04761905 139.76666667 140.65 142.32727273 142.52380952 144.53478261 148.57727273 149.77142857 152.85 160.21428571
"Aldeta" 42.365714286 50.014285714 47.848695652 45.177777778 54.969545455 66.664285714 76.1575 81.12826087 86.304761905 73.972727273 66.963636364 66.478947368 64.063636364 53.525 40.807272727 33.963684211 35.509090909 26.755 19.670454545 18.818695652 13.772 14.558695652 19.811363636 20.059444444 18.543636364 16.394 16.809 15.213809524 13.315 10.106 6.2043478261 5.1822727273 3.6971428571 3.3426086957 5.3071428571 5.089 5.8104545455 6.6605 6.4780952381 7.259 7.1938095238 8.0252380952 8.0839130435 9.2142857143 10.835909091 11.045217391 11.037 10.58 12.594285714 12.7095 13.093913043 13.4175 11.943809524 11.691818182 11.593181818 9.88 9.7022727273 10.422380952 11.808636364 11.48173913 10.948571429 10.0015 9.8257142857 9.1147619048 8.7018181818 9.205 9.6238095238 9.82 10.415909091 10.59952381 10.193181818 10.664285714
