"","insee","ech","mois","tH2_obs","capeinsSOL0","ciwcH20","clwcH20","ffH10","flir1SOL0","fllat1SOL0","flsen1SOL0","flvis1SOL0","hcoulimSOL0","huH2","iwcSOL0","nbSOL0_HMoy","nH20","ntSOL0_HMoy","pMER0","rr1SOL0","rrH20","tH2","tH2_VGrad_2.100","tH2_XGrad","tH2_YGrad","tpwHPA850","ux1H10","vapcSOL0","vx1H10"
"1","Nice","1","janvier",8.05394738912582,23.9449999756163,0,3.70112833936274e-06,3.0448995459043,-263302.385706851,-151068.074317784,-38087.1283134473,3.60000000000276e-12,293.929253334779,74.1329429460712,0,2.38533379551945,0.193467065109946,4.679388605227,1016.0135302829,0.110542603393575,0.0102134796056719,10.9851304556646,-0.299928301314211,0.00326840906596768,-0.00758080646589185,7.75201155961765,1.61787778443567,14.1067470669178,-2.32875050995412
"2","Toulouse_Blagnac","1","janvier",6.6815789455646,14.1797315432674,1.56742409114615e-07,1.31494894644227e-05,3.52892304220125,-125977.957690855,-12927.604991353,69332.9579485859,3.60000000000276e-12,421.397089049982,89.1038477001497,0.0272232877732198,3.97940298091715,0.671746873956973,5.8979516574514,1019.47479338675,0.0999501910577524,0.00603502703036796,6.55787480515144,0.819333531241394,0.00240300268983593,-0.000313915864914737,7.97682619990455,1.83458214066954,14.9037639396661,2.32307405169429
"3","Bordeaux_Mérignac","1","janvier",7.42236837715303,23.2508041562925,1.90196155999948e-07,1.5438036244361e-05,3.27441205894839,-122766.007667264,-18849.4080187123,73229.5252963094,3.60000000000276e-12,402.356939484918,92.6943365053553,0,4.27304840641465,1.04418895306137,6.381959228688,1017.94651966363,0.29566866162316,0.0110970428430507,6.99887877669441,1.75181558531781,0.00235740213433194,0.000207409731516896,7.99729681267884,2.36000567976499,15.6243046014082,2.4317052390468
"4","Rennes","1","janvier",6.24210526225598,17.3780317065636,2.47382592660845e-07,2.62525567966064e-05,3.9830754109366,-128016.238929158,-35514.8270802325,100716.465816312,3.60000000000276e-12,487.010838146882,91.3917971604609,0.0125657916069031,4.50814548570315,0.997720219604117,6.4368659491427,1013.46699642712,0.178182039782706,0.00436374283074607,6.27136383953801,0.685096532302147,0.000832350798897753,0.00047808849053008,6.91465133985605,2.62980498707487,14.7382796129189,5.24047492639033
"5","Lille_Lesquin","1","janvier",4.83289473719503,8.7803207023689,7.74368654344746e-08,6.25384943556497e-06,5.69845459748083,-153701.328933115,-34095.0739908385,111617.508028455,3.60000000000276e-12,484.78878509779,89.7437558908419,0.0602630191098887,3.68766671524976,0.353568166518961,6.16644509021152,1011.83240786854,0.0687806102314476,0.00270961430058267,4.60581385071742,0.415717361731253,-0.000499844850358699,0.000499729679906408,5.46746020253951,3.29804959234935,12.7842223997736,5.64769920883787
"6","Strasbourg_Entzheim","1","janvier",3.28289474458679,7.08163463372254,9.09154675140413e-07,2.66126648918853e-05,3.37591564272979,-134460.766133824,-14454.5292729345,66486.021646347,3.60000000000276e-12,338.644091121993,90.6411890308715,0.426851544694636,4.00041245215755,1.32481734667594,6.74227946491375,1016.48267366051,0.0278787289376754,0.00179013597348437,3.04353163654674,1.24713174830748,0.000476901328779199,-6.167238366827e-05,5.66185967703145,1.78359154131107,12.0022916298124,3.19536485400914
"7","Paris_Montsouris","1","janvier",5.88552631653453,8.37550496554727,1.41317861029464e-07,7.37343857265722e-06,3.3938292075948,-159850.282430495,-6127.71446966241,39308.364770911,3.60000000000276e-12,470.730096311496,83.4875140213505,0.00106356645885276,3.19283123210637,0.388793074662043,6.00857882069439,1014.30048858928,0.0478773966017757,0.00175939210412469,5.74622539282912,-0.385635897995612,0.000785669895354117,0.00253997948503342,5.55446903002974,2.50581518218143,12.6154443648318,4.37361469924655
"8","Nice","1","février",8.55294114701888,15.6957712261986,0,1.76635305936545e-08,3.32033884080114,-264219.55487003,-153314.42898284,-15754.8691384027,3.60000000000276e-12,478.770039132811,68.7374843421181,0,2.09232852033085,0.00255901493201628,4.70766175954642,1010.91307194902,0.17799163767325,0.00679660469516305,11.0434968672022,-0.279799918348848,0.00290868606777773,-0.00666192260781669,7.0028531169326,1.16110781795976,12.5838180880032,-2.29722321577831
"9","Toulouse_Blagnac","1","février",5.29558824331445,11.4139430109957,1.86434165187622e-09,6.83201103345002e-08,3.41111728728902,-179368.060777266,-11261.605966799,64495.7968963437,3.60000000000276e-12,339.35214711857,85.2469412113584,0.453645432914261,2.1705988160671,0.0135843487071814,5.07761038267047,1015.83049193579,0.0543534723249275,0.00267141447402585,5.17433492505507,1.40150930257335,0.00258806106764817,-0.000774264836442397,5.7413805720392,2.60797648099819,12.397293138751,1.25805649858684
"10","Bordeaux_Mérignac","1","février",6.17647059557631,21.9781915721382,0,2.25322148819396e-06,3.53692556335261,-157047.945329511,-33152.4758719571,86031.4702812955,3.60000000000276e-12,481.240253321675,87.8021379276616,0.000928790781098023,3.45679341141605,0.22396654179271,5.56239642173944,1014.94633778222,0.359647621421709,0.0187446593627608,5.77719238481866,1.38429169457113,0.00274701823491709,0.000521602235182019,5.79784955329759,2.09856036179868,13.3663701654627,1.93453151368937
